energy,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_m,loudness,valence,Genre
High,Moderato,Low,Low,High,4,High,RE Major,[5 - 9.99],[0 - 19.99],Medium,Electronic
Medium,Vivace,Low,Medium,High,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],High,Blues
Low,Lento,Low,High,High,4,Low,RE Minor,[1 - 2.99],[20 - 39.99],Low,Blues
Medium-High,Andante,Low,Low,Low,4,Medium,SOL Minor,[5 - 9.99],[0 - 19.99],Low,Rap
Medium,Moderato,Low,Low,High,4,High,DO Minor,[5 - 9.99],[0 - 19.99],Low,Blues
High,Andante,Low,Low,High,4,Medium,FA Major,[3 - 4.99],[0 - 19.99],Medium,R&B
Medium-Low,Vivace,Low,Medium-High,Low,4,Low,LA Minor,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
Low,Andante,Low,High,Low,1,Low,LA Major,[3 - 4.99],[20 - 39.99],Medium-Low,International
Medium-High,Vivace,Low,Low,Low,4,Medium,MI Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-Low,Andante,Low,High,Low,4,Low,DO Minor,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
Medium-Low,Andante,Low,High,Low,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],Medium-Low,Jazz
Medium-High,Moderato,Low,Low,Low,4,High,MI Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Vivace,Low,Low,Low,4,Medium,DO Major,[1 - 2.99],[0 - 19.99],High,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,MI Minor,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Moderato,Low,Low,Medium-Low,4,High,DO Minor,[5 - 9.99],[0 - 19.99],Medium-High,Rap
High,Vivace,Low,Low,Low,4,Low,FA Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Low,Medium-Low,4,High,SI Major,[5 - 9.99],[0 - 19.99],Medium-High,R&B
Medium,Moderato,Low,Low,Low,4,Medium,LA Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Moderato,Low,Low,Medium-Low,4,Medium,RE Major,[1 - 2.99],[0 - 19.99],Medium-High,Pop/Rock
Medium,Andante,Low,High,Low,3,Medium,RE Minor,[3 - 4.99],[0 - 19.99],Medium,Country
High,Moderato,Low,Low,Medium-High,4,High,SI Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Vivace,Low,Medium-High,High,4,Low,LA Major,[5 - 9.99],[0 - 19.99],Medium-High,Pop/Rock
High,Moderato,Low,Low,Medium-Low,4,Medium,SI Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Electronic
Medium,Andante,Low,Medium-Low,Low,4,High,SOL Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium,Moderato,Low,Low,Low,4,High,DO Major,[3 - 4.99],[0 - 19.99],Medium-High,Rap
Medium-High,Moderato,Low,Low,High,4,Medium,SOL Major,[5 - 9.99],[0 - 19.99],Low,Pop/Rock
Medium-High,Vivace,Low,Low,Low,4,Medium,RE Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
Medium,Moderato,Low,Medium-Low,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],High,Pop/Rock
High,Vivace,Low,Low,Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Moderato,Low,Low,Low,4,Medium,DO Major,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,High,SI Minor,[3 - 4.99],[0 - 19.99],High,Pop/Rock
High,Vivace,Low,Low,Medium-High,4,Medium,FA Minor,[5 - 9.99],[0 - 19.99],Low,Electronic
Medium,Moderato,Low,Low,Low,3,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Blues
Medium-High,Vivace,Low,Low,Medium-Low,4,Medium,SOL Major,[3 - 4.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium,Moderato,Low,Low,Medium-High,4,Medium,FA Minor,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
Medium-High,Moderato,Low,Low,Low,4,Medium,SI Minor,[3 - 4.99],[0 - 19.99],Medium,Country
High,Vivace,Low,Low,Low,4,Low,SI Minor,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
High,Andante,Low,Low,Low,4,Low,SI Major,[1 - 2.99],[0 - 19.99],Low,Pop/Rock
High,Moderato,Low,Low,Medium,4,High,LA Major,[3 - 4.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Moderato,Low,Low,High,4,Medium,SI Minor,[1 - 2.99],[0 - 19.99],Low,Pop/Rock
Medium-High,Andante,Low,Medium-High,Low,4,Medium,MI Minor,[3 - 4.99],[0 - 19.99],Medium-High,Pop/Rock
Medium-High,Moderato,Low,Medium-High,Low,4,Medium,DO Major,[1 - 2.99],[0 - 19.99],Medium,Pop/Rock
Medium-High,Vivace,Low,Low,Low,4,Low,DO Major,[5 - 9.99],[0 - 19.99],Medium-Low,Pop/Rock
High,Moderato,Medium,Low,Low,4,Medium,LA Minor,[3 - 4.99],[0 - 19.99],Low,Pop/Rock
