energy,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,dance,key,duration_m,loudness,c,valence,mode,Genre,x,y
Medium,Andante,Low,Low,Low,4,High,3,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Minor,Pop/Rock,0,0
Medium-High,Moderato,Low,Medium,Low,4,Medium,2,RE,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium-Low,Andante,Low,Medium-High,Medium,4,Medium,2,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Rap,0,0
Medium-High,Moderato,Low,Low,High,4,High,3,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
High,Moderato,Low,Low,Medium-High,4,Medium,2,SI,[5.0 _ 10.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Medium-High,Andante,Low,Medium,Low,4,Medium,2,DO,[3.0 _ 5.0],[0.0 _ 20.0],1,High,Major,Pop/Rock,0,0
Low,Moderato,Low,High,Low,4,Low,1,RE,[1.0 _ 3.0],[0.0 _ 20.0],1,Low,Major,Jazz,0,0
Medium-Low,Vivace,Low,Medium-High,Low,4,Medium,2,LA,[5.0 _ 10.0],[0.0 _ 20.0],1,Medium-Low,Minor,Pop/Rock,0,0
Low,Moderato,Low,High,High,4,Low,1,DO,>10,[0.0 _ 20.0],1,Medium-Low,Major,Jazz,0,0
Medium-High,Moderato,Medium-Low,Low,Low,4,High,3,FA,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium-High,Major,Rap,0,0
Medium-High,Moderato,Low,Low,Low,4,High,3,SOL,[3.0 _ 5.0],[0.0 _ 20.0],1,Medium,Major,Blues,0,0
High,Moderato,Low,Low,High,4,High,3,SI,[3.0 _ 5.0],[0.0 _ 20.0],1,Low,Major,Rap,0,0
Medium,Andante,Low,Medium-Low,Medium-High,4,Low,1,LA,>10,[0.0 _ 20.0],1,Low,Major,Electronic,1,1
High,Moderato,Low,Low,High,4,Medium,2,MI,[5.0 _ 10.0],[0.0 _ 20.0],1,Low,Major,Pop/Rock,0,0
